,user_id,date,year,month,day,hour,minute,second,hour_period,duration_min
5911,2437,2016-07-12,2016,Jul,Tuesday,11,13,20,11:00-11:30,0.417
5912,2437,2017-01-09,2017,Jan,Monday,22,6,1,22:00-22:30,1.55
5913,2437,2016-12-31,2016,Dec,Saturday,11,4,1,11:00-11:30,0.5
5914,2437,2017-01-30,2017,Jan,Monday,18,11,56,18:00-18:30,8.867
5915,2437,2016-09-21,2016,Sep,Wednesday,16,19,40,16:00-16:30,1.033
5916,2437,2016-10-20,2016,Oct,Thursday,13,6,43,13:00-13:30,0.333
5917,2437,2017-07-04,2017,Jul,Tuesday,17,21,22,17:00-17:30,1.033
5918,2437,2017-01-29,2017,Jan,Sunday,9,20,31,09:00-09:30,0.333
5919,2437,2017-01-11,2017,Jan,Wednesday,18,44,43,18:30-19:00,0.15
5920,6323,2016-11-09,2016,Nov,Wednesday,22,9,39,22:00-22:30,0.167
5921,2437,2016-11-28,2016,Nov,Monday,10,1,29,10:00-10:30,6.45
5922,2437,2017-01-13,2017,Jan,Friday,13,41,40,13:30-14:00,1.0
5923,2437,2016-08-28,2016,Aug,Sunday,17,29,55,17:00-17:30,17.533
5924,2437,2016-07-31,2016,Jul,Sunday,10,58,43,10:30-11:00,0.167
5925,6323,2016-11-07,2016,Nov,Monday,11,59,44,11:30-12:00,0.667
5926,2437,2016-08-28,2016,Aug,Sunday,10,51,59,10:30-11:00,0.15
5927,2437,2017-04-29,2017,Apr,Saturday,18,32,16,18:30-19:00,0.5
5928,2437,2016-07-10,2016,Jul,Sunday,14,14,3,14:00-14:30,2.5
5929,2437,2016-12-13,2016,Dec,Tuesday,22,39,54,22:30-23:00,0.167
5930,2437,2017-07-21,2017,Jul,Friday,9,0,7,09:00-09:30,0.167
5931,2437,2017-01-10,2017,Jan,Tuesday,20,7,31,20:00-20:30,0.167
5932,2437,2016-07-05,2016,Jul,Tuesday,9,47,14,09:30-10:00,0.5
5933,6323,2017-04-24,2017,Apr,Monday,21,57,3,21:30-22:00,1.483
5934,2437,2017-05-14,2017,May,Sunday,7,19,20,07:00-07:30,2.5
5935,2437,2016-12-15,2016,Dec,Thursday,2,35,54,02:30-03:00,25.517
5936,2437,2016-10-11,2016,Oct,Tuesday,18,22,11,18:00-18:30,2.333
5937,2437,2016-12-02,2016,Dec,Friday,13,6,23,13:00-13:30,0.167
5938,6323,2017-01-20,2017,Jan,Friday,21,22,51,21:00-21:30,0.5
5939,2437,2016-12-25,2016,Dec,Sunday,0,56,28,00:30-01:00,1.5
5940,2437,2017-02-24,2017,Feb,Friday,20,29,10,20:00-20:30,0.267
5941,2437,2016-07-09,2016,Jul,Saturday,8,47,24,08:30-09:00,2.7
5942,2437,2016-08-29,2016,Aug,Monday,7,23,21,07:00-07:30,1.167
5943,6323,2016-09-15,2016,Sep,Thursday,13,25,35,13:00-13:30,1.9
5944,2437,2016-12-30,2016,Dec,Friday,14,21,42,14:00-14:30,0.917
5945,2437,2016-12-21,2016,Dec,Wednesday,12,15,20,12:00-12:30,0.333
5946,6323,2017-04-26,2017,Apr,Wednesday,12,1,23,12:00-12:30,0.05
5947,2437,2017-07-20,2017,Jul,Thursday,6,5,32,06:00-06:30,13.517
5948,2437,2017-01-05,2017,Jan,Thursday,18,7,27,18:00-18:30,4.017
5949,2437,2017-01-20,2017,Jan,Friday,18,17,32,18:00-18:30,0.133
5950,6323,2016-09-18,2016,Sep,Sunday,15,44,0,15:30-16:00,9.85
5951,6323,2016-08-06,2016,Aug,Saturday,9,12,51,09:00-09:30,0.85
5952,2437,2016-12-01,2016,Dec,Thursday,19,56,45,19:30-20:00,3.517
5953,2437,2016-08-26,2016,Aug,Friday,20,39,41,20:30-21:00,0.167
5954,2437,2017-06-29,2017,Jun,Thursday,18,42,24,18:30-19:00,5.667
5955,2437,2017-03-16,2017,Mar,Thursday,10,6,49,10:00-10:30,7.333
5956,2437,2016-11-26,2016,Nov,Saturday,19,31,49,19:30-20:00,0.5
5957,6323,2016-09-28,2016,Sep,Wednesday,7,42,24,07:30-08:00,0.217
5958,6323,2016-08-03,2016,Aug,Wednesday,17,14,45,17:00-17:30,0.2
5959,6323,2016-10-14,2016,Oct,Friday,16,47,8,16:30-17:00,0.067
5960,6323,2017-05-09,2017,May,Tuesday,17,32,0,17:30-18:00,0.333
5961,6323,2017-03-11,2017,Mar,Saturday,11,37,59,11:30-12:00,0.15
5962,6323,2017-01-30,2017,Jan,Monday,11,1,50,11:00-11:30,0.067
5963,2437,2016-07-21,2016,Jul,Thursday,6,1,58,06:00-06:30,1.3
5964,2437,2016-11-01,2016,Nov,Tuesday,19,57,54,19:30-20:00,0.167
5965,2437,2017-05-06,2017,May,Saturday,18,10,50,18:00-18:30,0.517
5966,2437,2016-07-06,2016,Jul,Wednesday,20,3,50,20:00-20:30,1.017
5967,2437,2016-07-06,2016,Jul,Wednesday,20,57,11,20:30-21:00,3.5
5968,6323,2016-10-28,2016,Oct,Friday,14,2,11,14:00-14:30,0.2
5969,2437,2017-01-20,2017,Jan,Friday,8,21,42,08:00-08:30,1.683
5970,2437,2017-03-31,2017,Mar,Friday,9,21,54,09:00-09:30,9.35
5971,2437,2017-03-27,2017,Mar,Monday,13,25,35,13:00-13:30,3.433
5972,2437,2016-10-03,2016,Oct,Monday,19,28,4,19:00-19:30,0.883
5973,2437,2016-08-21,2016,Aug,Sunday,10,36,19,10:30-11:00,0.333
5974,2437,2016-07-09,2016,Jul,Saturday,18,35,0,18:30-19:00,3.0
5975,2437,2016-07-18,2016,Jul,Monday,16,58,4,16:30-17:00,0.5
5976,2437,2016-07-03,2016,Jul,Sunday,18,19,39,18:00-18:30,0.667
5977,2437,2017-02-13,2017,Feb,Monday,21,59,18,21:30-22:00,0.333
5978,2437,2016-09-25,2016,Sep,Sunday,19,36,14,19:30-20:00,16.267
