,index,duration_min,session,day,Dialy_Average,percentage
160,2017-11-10,2.949,3,Friday,1.3,1.2684615384615383
161,2017-11-11,1.4829999999999999,2,Saturday,1.6,-0.07312500000000013
162,2017-11-12,30.999999999999996,7,Sunday,1.5,19.666666666666664
163,2017-11-13,4.5009999999999994,4,Monday,1.4,2.215
164,2017-11-14,0.167,1,Tuesday,1.4,-0.8807142857142857
165,2017-11-15,0.0,0,Wednesday,1.4,-1.0
166,2017-11-16,5.834,2,Thursday,1.3,3.4876923076923076
167,2017-11-17,0.167,1,Friday,1.3,-0.8715384615384615
168,2017-11-18,12.799999999999999,6,Saturday,1.6,6.999999999999999
169,2017-11-19,3.684,4,Sunday,1.5,1.4560000000000002
170,2017-11-20,1.867,5,Monday,1.4,0.33357142857142863
171,2017-11-21,3.833,1,Tuesday,1.4,1.7378571428571432
172,2017-11-22,0.55,1,Wednesday,1.4,-0.6071428571428571
173,2017-11-23,2.017,2,Thursday,1.3,0.5515384615384614
174,2017-11-24,11.517,3,Friday,1.3,7.859230769230768
175,2017-11-25,11.799,7,Saturday,1.6,6.374375
176,2017-11-26,9.516,6,Sunday,1.5,5.344
177,2017-11-27,14.016,4,Monday,1.4,9.011428571428572
178,2017-11-28,1.817,4,Tuesday,1.4,0.2978571428571429
179,2017-11-29,6.0329999999999995,6,Wednesday,1.4,3.3092857142857137
180,2017-11-30,1.5,5,Thursday,1.3,0.1538461538461538
181,2017-12-01,1.5,3,Friday,1.3,0.1538461538461538
182,2017-12-02,5.0,4,Saturday,1.6,2.125
183,2017-12-03,12.417,3,Sunday,1.5,7.278
184,2017-12-04,3.567,2,Monday,1.4,1.547857142857143
185,2017-12-05,1.534,3,Tuesday,1.4,0.09571428571428581
186,2017-12-06,1.5,2,Wednesday,1.4,0.0714285714285715
187,2017-12-07,3.835,8,Thursday,1.3,1.95
188,2017-12-08,0.65,3,Friday,1.3,-0.5
189,2017-12-09,16.934,12,Saturday,1.6,9.58375
190,2017-12-10,6.618,8,Sunday,1.5,3.4120000000000004
191,2017-12-11,0.316,2,Monday,1.4,-0.7742857142857142
192,2017-12-12,0.833,3,Tuesday,1.4,-0.40499999999999997
193,2017-12-13,3.4839999999999995,4,Wednesday,1.4,1.4885714285714284
194,2017-12-14,4.8,6,Thursday,1.3,2.692307692307692
195,2017-12-15,0.35,2,Friday,1.3,-0.7307692307692308
196,2017-12-16,1.333,2,Saturday,1.6,-0.16687500000000008
197,2017-12-17,4.934,6,Sunday,1.5,2.2893333333333334
198,2017-12-18,5.3999999999999995,3,Monday,1.4,2.857142857142857
199,2017-12-19,6.466,3,Tuesday,1.4,3.618571428571429
200,2017-12-20,2.1999999999999997,3,Wednesday,1.4,0.5714285714285713
201,2017-12-21,0.334,2,Thursday,1.3,-0.7430769230769231
202,2017-12-22,3.4000000000000004,5,Friday,1.3,1.6153846153846156
203,2017-12-23,11.482999999999999,6,Saturday,1.6,6.176874999999999
