date,duration_min,session
2018-07-08,2.651,7
2018-07-09,7.4,3
2018-07-10,1.2670000000000001,5
2018-07-11,4.417,1
2018-07-12,2.884,5
2018-07-13,0.133,1
2018-07-14,0.366,2
2018-07-15,6.468999999999999,8
2018-07-16,8.233,7
2018-07-17,3.983,2
2018-07-18,0.28400000000000003,3
2018-07-19,5.9159999999999995,4
2018-07-20,34.984,8
2018-07-21,4.667,3
2018-07-22,0.167,1
2018-07-23,0.334,2
2018-07-24,7.667,3
2018-07-25,6.899999999999999,4
2018-07-26,0.833,2
2018-07-27,6.734,8
2018-07-28,2.8000000000000003,4
2018-07-29,0.283,1
2018-07-30,15.849,5
2018-07-31,0.667,2
2018-08-01,2.167,4
2018-08-02,1.834,5
2018-08-04,0.30000000000000004,2
2018-08-05,3.667,4
2018-08-06,5.5,3
2018-08-07,2.4,1
2018-08-08,1.484,4
2018-08-09,4.301,5
2018-08-10,0.5,2
2018-08-11,1.583,2
2018-08-12,2.583,5
2018-08-13,5.1,5
2018-08-14,3.4499999999999993,5
2018-08-15,5.199,4
2018-08-16,4.2,8
2018-08-17,6.833,6
2018-08-18,2.915,5
2018-08-19,5.251,5
2018-08-20,6.016,3
2018-08-21,0.934,3
2018-08-22,1.217,2
2018-08-23,6.6,3
2018-08-24,0.45000000000000007,3
2018-08-25,6.284,4
2018-08-26,0.867,3
2018-08-27,3.968,5
2018-08-28,0.917,4
2018-08-29,5.0,5
2018-08-30,5.7669999999999995,4
2018-08-31,2.001,3
2018-09-02,8.716,6
2018-09-03,4.651,7
2018-09-04,2.483,3
2018-09-05,0.651,3
2018-09-06,1.8840000000000001,7
2018-09-07,21.933,7
2018-09-08,11.168,4
2018-09-09,24.701,8
2018-09-10,2.3659999999999997,2
2018-09-11,0.667,1
2018-09-12,5.15,3
2018-09-13,3.968,7
2018-09-14,4.934,4
2018-09-15,6.9,3
2018-09-16,4.0840000000000005,5
2018-09-17,8.901,4
2018-09-18,14.517,3
2018-09-19,0.43400000000000005,2
2018-09-20,3.2179999999999995,6
2018-09-21,2.017,4
2018-09-22,1.7169999999999999,3
2018-09-23,1.0670000000000002,2
2018-09-24,3.3,7
2018-09-26,20.685,7
2018-09-27,4.999999999999999,7
2018-09-28,4.501,5
2018-09-29,45.669,13
2018-10-01,1.3,2
2018-10-02,8.333,2
2018-10-03,2.95,6
2018-10-04,2.566,4
2018-10-05,1.35,2
2018-10-06,38.748,7
2018-10-07,0.5,1
2018-10-08,10.766,7
2018-10-09,3.733,4
2018-10-10,2.5,2
2018-10-11,8.299999999999999,9
2018-10-12,2.333,1
2018-10-13,0.933,2
2018-10-14,3.6180000000000003,5
2018-10-15,10.183999999999997,7
2018-10-16,2.2840000000000003,5
2018-10-17,15.783,5
2018-10-18,2.501,5
2018-10-19,10.001,8
2018-10-20,0.501,3
2018-10-21,3.9330000000000003,3
2018-10-22,15.549000000000001,5
2018-10-23,0.167,1
2018-10-24,3.917,5
2018-10-25,5.334,3
2018-10-26,5.833,2
2018-10-27,15.517,3
2018-10-28,10.565999999999999,2
2018-10-29,13.666,6
2018-10-31,0.366,2
2018-11-01,12.248999999999999,8
2018-11-02,8.434,6
2018-11-03,30.933999999999997,6
2018-11-04,9.383999999999999,9
2018-11-05,2.551,8
2018-11-06,7.350999999999999,6
2018-11-07,1.084,4
2018-11-08,0.651,4
2018-11-09,2.234,4
2018-11-10,0.167,1
2018-11-11,0.1,1
2018-11-12,3.301,6
2018-11-13,0.667,1
2018-11-15,51.401,5
2018-11-16,18.7,6
2018-11-17,1.3830000000000002,4
2018-11-18,1.0,1
2018-11-20,0.167,1
2018-11-22,6.433,3
2018-11-23,7.733999999999999,4
2018-11-24,5.416,6
2018-11-25,2.0,2
2018-11-26,1.55,3
2018-11-27,5.5,1
2018-11-28,1.0170000000000001,4
2018-11-29,47.816,5
2018-12-01,18.416,3
2018-12-02,5.05,2
2018-12-03,8.5,6
2018-12-04,4.2509999999999994,6
2018-12-06,7.849,3
2018-12-09,15.3,2
2018-12-10,2.333,3
2018-12-11,12.051999999999998,8
2018-12-12,6.351,8
2018-12-13,10.299000000000001,7
2018-12-14,1.7510000000000001,5
2018-12-15,2.383,2
2018-12-16,1.5010000000000001,3
2018-12-17,2.367,3
2018-12-18,16.799999999999997,7
2018-12-19,6.1,5
2018-12-20,4.7330000000000005,4
2018-12-21,8.899999999999999,7
